name, start_time, end_time, happy, sad, angry, disgust, surprise, fear, neutral 
--qXJuDtHPw[0],23.199,30.325,1,0,0,0,0,0,0
-3g5yACwYnA[0],82.753,100.555,1,1,0,0,0,1,0
-3g5yACwYnA[1],119.919,125.299,0,0,0,0,0,0,1
-3g5yACwYnA[2],4.840,14.052,1,1,0,0,0,1,0
-3g5yACwYnA[3],13.211,27.521,1,1,0,0,0,0,0
-3g5yACwYnA[4],26.541,41.300,1,0,0,0,0,0,0
-3g5yACwYnA[5],74.083,82.776,0,1,0,0,0,1,0
-3nNcZdcdvU[0],0.000,9.213,1,0,0,0,0,0,0
-3nNcZdcdvU[1],12.014,20.098,1,0,0,0,0,0,0
-3nNcZdcdvU[2],36.399,44.173,1,0,0,0,0,0,0
-571d8cVauQ[0],0.000,4.992,0,0,0,0,0,0,1
-571d8cVauQ[1],21.842,28.309,1,1,0,0,0,0,0
-571d8cVauQ[2],69.893,85.000,1,0,0,0,0,0,0
-6rXp3zJ3kc[0],14.468,22.882,0,1,1,0,0,0,0
-6rXp3zJ3kc[1],45.428,58.151,0,1,0,0,0,0,0
-6rXp3zJ3kc[2],58.109,71.960,0,1,0,0,0,0,0
-9YyBTjo1zo[0],-0.458,1.780,0,0,0,0,0,0,1
-9YyBTjo1zo[1],0.820,5.960,0,0,1,0,0,0,0
-9YyBTjo1zo[2],5.978,22.672,1,0,0,0,1,0,0
-9YyBTjo1zo[3],32.817,42.996,1,0,1,1,0,0,0
-9YyBTjo1zo[4],42.854,47.785,1,0,0,1,1,0,0
-9y-fZ3swSY[0],0.000,6.748,1,0,0,0,0,0,0
-9y-fZ3swSY[1],5.988,12.096,1,0,0,0,0,0,0
-9y-fZ3swSY[2],11.475,15.898,1,0,0,0,1,0,0
-9y-fZ3swSY[3],16.055,22.832,1,0,1,0,1,0,0
-9y-fZ3swSY[4],23.179,25.825,1,1,0,0,0,0,0
-9y-fZ3swSY[5],37.077,43.026,1,0,1,0,0,0,0
-9y-fZ3swSY[6],42.475,48.214,1,0,0,0,0,0,0
-9y-fZ3swSY[7],47.444,52.345,1,0,0,0,0,0,0
-AUZQgSxyPQ[0],13.122,35.513,0,0,0,0,0,1,0
-Alixo7euuU[0],0.012,5.141,0,1,0,0,0,0,0
-Alixo7euuU[10],190.270,197.115,0,0,0,0,0,0,1
-Alixo7euuU[11],198.302,213.866,1,1,0,1,0,0,0
-Alixo7euuU[12],223.554,228.304,1,1,0,0,0,0,0
-Alixo7euuU[13],36.260,41.748,0,1,0,0,0,0,0
-Alixo7euuU[1],5.141,12.464,1,0,0,0,0,0,0
-Alixo7euuU[2],79.143,87.544,1,0,0,0,0,0,0
-Alixo7euuU[3],115.739,119.810,1,0,0,0,0,0,0
-Alixo7euuU[4],120.489,130.346,1,1,0,0,0,0,0
-Alixo7euuU[5],133.260,140.912,0,1,0,1,0,1,0
-Alixo7euuU[6],12.464,21.274,0,1,0,0,0,0,0
-Alixo7euuU[7],141.042,153.653,0,1,0,1,0,1,0
-Alixo7euuU[8],167.312,182.238,1,0,0,0,0,1,0
-Alixo7euuU[9],184.982,189.951,1,0,0,0,0,1,0
-Eqdz5y4pEY[0],21.573,28.348,1,0,0,0,0,0,0
-HeZS2-Prhc[0],7.764,16.905,1,0,0,0,0,0,0
-HeZS2-Prhc[1],15.905,24.049,1,0,0,0,0,0,0
-HeZS2-Prhc[2],34.224,44.083,1,0,0,0,0,0,0
-HeZS2-Prhc[3],71.998,78.815,1,0,1,1,0,0,0
-HvKLjmsO5U[0],11.915,20.765,1,0,0,0,0,1,0
-HvKLjmsO5U[1],21.234,31.940,1,0,0,0,0,0,0
-HwX2H8Z4hY[0],0.000,2.348,0,0,0,0,0,0,1
-HwX2H8Z4hY[1],2.146,11.318,0,1,0,0,0,0,0
-HwX2H8Z4hY[2],10.318,14.211,0,0,0,0,0,0,1
-HwX2H8Z4hY[3],13.920,20.118,0,1,0,1,0,0,0
-HwX2H8Z4hY[4],19.866,26.214,0,1,0,1,0,0,0
-HwX2H8Z4hY[5],27.080,32.610,0,0,0,0,0,0,1
-HwX2H8Z4hY[6],32.108,35.353,0,0,0,0,0,0,1
-HwX2H8Z4hY[7],35.441,42.806,1,0,0,0,0,0,0
-HwX2H8Z4hY[8],43.093,49.551,0,0,1,1,0,0,0
-HwX2H8Z4hY[9],49.299,56.934,0,0,1,0,0,1,0
-IUUR2yyNbw[0],7.226,25.405,1,0,0,0,0,0,0
-IUUR2yyNbw[1],114.861,126.445,1,0,0,0,0,1,0
-IUUR2yyNbw[2],142.858,149.862,0,0,0,0,0,0,1
-IUUR2yyNbw[3],32.708,42.446,0,1,0,0,0,0,0
-IUUR2yyNbw[4],66.531,69.754,1,0,0,0,0,0,0
-I_e4mIh0yE[0],3.144,10.570,0,1,0,0,0,0,0
-I_e4mIh0yE[1],16.803,25.785,0,0,0,0,0,1,0
-I_e4mIh0yE[2],25.154,47.097,1,1,0,1,0,1,0
-IqSFQePnpU[0],0.012,17.293,0,1,0,0,1,1,0
-KCahx2qBOI[0],86.586,94.617,1,1,0,1,0,0,0
-KCahx2qBOI[1],44.970,51.994,0,0,1,0,0,0,0
-KCahx2qBOI[2],79.881,86.187,1,0,1,0,0,0,0
-LnuDPiuuZw[0],0.012,5.300,1,0,1,0,0,0,0
-LnuDPiuuZw[1],6.238,14.839,1,0,0,0,0,0,0
-LnuDPiuuZw[2],15.308,31.431,1,0,0,0,0,0,0
-LnuDPiuuZw[3],96.523,108.217,1,0,0,0,0,0,0
-MeTTeMJBNc[0],0.000,9.213,0,0,0,0,0,0,1
-MeTTeMJBNc[1],77.036,82.277,1,0,0,0,0,0,0
-MeTTeMJBNc[2],10.647,19.170,1,0,1,0,0,0,0
-MeTTeMJBNc[3],31.849,42.258,1,0,0,0,1,0,0
-NFrJFQijFE[0],-0.478,4.104,0,1,0,0,0,0,0
-NFrJFQijFE[1],3.374,9.023,1,0,0,0,0,0,0
-NFrJFQijFE[2],8.023,14.720,0,0,0,0,0,0,1
-NFrJFQijFE[3],44.111,54.769,1,0,0,0,0,0,0
-RfYyzHpjk4[0],64.794,69.855,1,1,1,0,0,0,0
-RfYyzHpjk4[1],9.051,14.441,1,0,0,0,0,0,0
-RfYyzHpjk4[2],48.711,53.223,0,0,0,0,0,0,1
-RfYyzHpjk4[3],52.652,60.536,1,0,1,1,0,0,0
-RpZEe4w4fY[0],0.000,3.576,1,0,0,0,0,0,0
-RpZEe4w4fY[10],30.732,33.248,1,0,0,0,0,0,0
-RpZEe4w4fY[11],32.378,35.034,1,0,1,0,0,0,0
-RpZEe4w4fY[1],2.745,5.182,1,0,1,0,0,0,0
-RpZEe4w4fY[2],34.184,43.954,1,0,1,0,0,0,0
-RpZEe4w4fY[3],43.153,45.540,0,0,0,0,0,0,1
-RpZEe4w4fY[4],4.182,11.787,1,0,0,0,0,0,0
-RpZEe4w4fY[5],10.787,18.352,1,0,1,0,0,0,0
-RpZEe4w4fY[6],17.761,27.561,1,0,0,0,0,0,0
-RpZEe4w4fY[7],26.561,28.479,0,0,0,0,0,0,1
